CID,isosmiles
2639,CON=C(C1=NSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=C5C=CC=NN5C=C4)C(=O)[O-]
2650,CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-]
2655,CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=CCS3)C(=O)O
2657,CN1C(=NC(=O)C(=O)N1)SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)O
2659,CON=C(C1=CC=CO1)C(=O)NC2C3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)O
2662,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
2663,CCN(CC)C(=O)NC1=CC(=C(C=C1)OCC(CNC(C)(C)C)O)C(=O)C
2675,C=CC1=C(N2C(C(C2=O)NC(=O)C(=NOCC(=O)O)C3=CSC(=N3)N)SC1)C(=O)O
2678,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
2681,CCCCCCCCCCCCCCCC[N+](C)(C)C
2683,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1
2684,CC1OC2(CN3CCC2CC3)CS1
2707,C(C(Cl)(Cl)Cl)(O)O
2708,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl
2710,CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
2712,CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O
2717,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl
2719,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl
2720,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2
2723,CC1=CC(=CC(=C1Cl)C)O
2725,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
2726,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
2727,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl
2732,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O
2733,C1=CC2=C(C=C1Cl)NC(=O)O2
2747,C1CN=C(N1)C2CC2(C3=CC=CC=C3)C4=CC=CC=C4
2749,CC1=CC(=O)N(C(=C1)C2CCCCC2)O
2754,C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4
2756,CC1=C(N=CN1)CSCCNC(=NC)NC#N
2758,CC1(C2CCC(O1)(CC2)C)C
2762,CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3
2763,CC(C)(C(=O)O)OC1=CC=C(C=C1)C2CC2(Cl)Cl
2764,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
2769,COC1CN(CCC1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F
2771,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
2780,COC1=CC(=C(C=C1C(=O)NC2CCN(CC2)CC3=CC=CC=C3)Cl)N
2783,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O
2788,C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1
2789,CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
2794,CC(C)N=C1C=C2C(=NC3=CC=CC=C3N2C4=CC=C(C=C4)Cl)C=C1NC5=CC=C(C=C5)Cl
2795,CN(C)CCC(C1=CC=CC=C1)(C2=CC=CC=C2Cl)O
2796,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl
2799,CC(C)(C)CC(C)(C)C1=CC(=C(C=C1)O)CC2=C(C=C(C=C2)Cl)Cl
2800,CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3
2801,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl
2802,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl
2803,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl
2804,CC1CCCC(N1NC(=O)C2=CC(=C(C=C2)Cl)S(=O)(=O)N)C
2805,C1CCN(CC1)CCOC(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
2811,CCC1=CC2=C(S1)N(C(=O)CN=C2C3=CC=CC=C3Cl)C
2812,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4
2816,C1COC2(N1CC(=O)NC3=C2C=C(C=C3)Cl)C4=CC=CC=C4Cl
2882,C1=CC2=C(C(=C1)OCC(COC3=CC=CC4=C3C(=O)C=C(O4)C(=O)O)O)C(=O)C=C(O2)C(=O)O
2893,CC1CC(CC(C1)(C)C)OC(=O)C(C2=CC=CC=C2)O
2895,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31
2898,CC(=O)OC1=CC=C(C=C1)C(=C2CCCCC2)C3=CC=C(C=C3)OC(=O)C
2904,C1CCC(C1)CC2NC3=CC(=C(C=C3S(=O)(=O)N2)S(=O)(=O)N)Cl
2905,CN(C)CCOC(=O)C(C1=CC=CC=C1)C2(CCCC2)O
2907,C1CNP(=O)(OC1)N(CCCl)CCCl
2910,C1C2CC(C1C=C2)C3NC4=CC(=C(C=C4S(=O)(=O)N3)S(=O)(=O)N)Cl
2912,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C
2913,CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1
2942,CN(C)N=NC1=C(NC=N1)C(=O)N
2950,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O
2952,C1C(=O)NC(=O)N1N=CC2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-]
2955,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N
2966,C1CN(CC2=CC=CC=C21)C(=N)N
2972,CC1=C(C(=O)C=CN1C)O
2973,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O
2993,CC1=[N+](C2=CC=CC=C2C(=C1)N)CCCCCCCCCC[N+]3=C(C=C(C4=CC=CC=C43)N)C
2995,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31
2997,C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3
3007,CC(CC1=CC=CC=C1)N
3009,C(CC(C(F)F)(C(=O)O)N)CN
3016,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
3019,CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl
3025,CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC
3026,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC
3033,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
3036,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl
3037,C1=CC(=C(C=C1Cl)CC2=C(C=CC(=C2)Cl)O)O
3038,C1=C(C=C(C(=C1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N
3042,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2
3052,CCN(CC)C(=O)N1CCN(CC1)C
3059,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O
3070,CC1CCC(CC1=CC=C2CCCC3(C2CCC3C(C)C=CC(C)C(C)C)C)O
3074,COC1=CC(=CC(=C1OC)OC)C(=O)OCCCN2CCCN(CC2)CCCOC(=O)C3=CC(=C(C(=C3)OC)OC)OC
3078,CC1=C(OC2=C(C1=O)C=CC(=C2CN(C)C)OC)C3=CC=CC=C3
3080,C(C(CS)S)O
3089,CC(CN1C2=CC=CC=C2SC3=C1C=C(C=C3)S(=O)(=O)N(C)C)N(C)C
3100,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2
3103,CN1CCC(CC1)OC(C2=CC=CC=C2)C3=CC=CC=C3
3105,CC(C)(C)C(=O)OC1=C(C=C(C=C1)C(CNC)O)OC(=O)C(C)(C)C
3108,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO
3114,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C
3116,C[N+]1=CC=CC(=C1)OC(=O)N(C)CCCCCCN(C)C(=O)OC2=C[N+](=CC=C2)C
3117,CCN(CC)C(=S)SSC(=S)N(CC)CC
3121,CCCC(CCC)C(=O)O
3149,CCCCCCCCCCCC[N+](C)(C)CCOC1=CC=CC=C1
3151,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O
3152,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC
3155,CN(C)CCC=C1C2=CC=CC=C2CSC3=CC=CC=C31
3156,CCN1CC(C(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3)CCN4CCOCC4
3157,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC
3158,CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31
3162,CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C
3168,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F
3169,C1CN(CCN1CC(CO)O)C2=CC=CC=C2
3180,CCCCOC1=CC=C(C=C1)C(=O)CCN2CCCCC2
3182,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O
3191,CC(C)(C)C1=CC=C(C=C1)C(=O)CCCN2CCC(CC2)OC(C3=CC=CC=C3)C4=CC=CC=C4
3198,C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl
3202,CC[N+](C)(C)C1=CC(=CC=C1)O
3219,CCOCCN1C2=CC=CC=C2N=C1N3CCCN(CC3)C
3226,C(C(OC(F)F)(F)F)(F)Cl
3229,CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O
3230,CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C
3231,COC(=O)CCC=C=CCC1C(C(CC1=O)O)C=CC(COC2=CC=CC=C2)O
3236,CCC1=CC=C(C=C1)C(=O)C(C)CN2CCCCC2
3241,C1C2C3=CC=CC=C3CC4=CC=CC=C4N2C(=N1)N
3245,CCOC(CN1CCN(CC1)CC(C)C(=O)C2=CC=CC=C2)C3=CC=CC=C3
3261,C1C2=NN=CN2C3=C(C=C(C=C3)Cl)C(=N1)C4=CC=CC=C4
3275,CCN(CC)CCOC1=CC=CC=C1C(=O)CCC2=CC=CC=C2
3278,CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl
3282,CCOC1=CC=CC=C1C(=O)N
3283,CCOCC
3290,CCN(CC)C(C)CN1C2=CC=CC=C2SC3=CC=CC=C31
3291,CCC1(CC(=O)NC1=O)C
3292,CCN1C(=O)C(NC1=O)C2=CC=CC=C2
3299,CCOC(=O)C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3F
3305,CC(O)(P(=O)(O)O)P(=O)(O)O
3306,CCNCC(C1=CC(=CC=C1)O)O
3307,CCC1=CC2=C(S1)N3C(=NN=C3CN=C2C4=CC=CC=C4Cl)C
3308,CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O
3324,CC(=O)OCC(CCN1C=NC2=CN=C(N=C21)N)COC(=O)C
3325,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N
3331,C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N
3332,C1=CC=C(C=C1)C2=CC=C(C=C2)CC(=O)O
3333,CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C
3334,COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3
3335,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)CCC(=O)O
3336,CC(C1=CC=CC=C1)NCCC(C2=CC=CC=C2)C3=CC=CC=C3
3337,CCNC(C)CC1=CC(=CC=C1)C(F)(F)F
3339,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl
3341,C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O
3342,CC(C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)O
3343,CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=CC(=C2)O)O)O
3344,C1CN(CCC12CNC(=O)O2)CCC3=CC=CC=C3
3345,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3
3348,CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O
3351,C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C(=O)COC4=CC=C(C=C4)Cl
3354,CC1=C(OC2=C(C1=O)C=CC=C2C(=O)OCCN3CCCCC3)C4=CC=CC=C4
3356,C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F
3357,CN1CCN(CC1)C2=C(C=C3C(=C2F)N(C=C(C3=O)C(=O)O)CCF)F
3360,C1=CC=C(C(=C1)C(=O)OCC(CO)O)NC2=C3C=CC=C(C3=NC=C2)C(F)(F)F
3365,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O
3366,C1=NC(=O)NC(=C1F)N
3369,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F
3371,C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F
3372,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO
3373,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C
